	(1)	(2)	(3)	(4)	(5)	(6)
	R1	R2	R3	R4	R5	R6
VARIABLES	lnPremium	lnPremium	lnPremium	lnPremium	lnPremium	lnPremium
						
_Istate_16	0.0938	0.150***	0.144***	0.0914	0.284***	0.253***
	(0.0654)	(0.0406)	(0.0376)	(0.105)	(0.0842)	(0.0755)
_Istate_17	0.0232	0.0738**	0.0802**	0.0614	0.160*	0.150*
	(0.0477)	(0.0350)	(0.0373)	(0.0377)	(0.0943)	(0.0889)
_Istate_18	-0.0121	0.0602*	0.0469	-0.0109	0.178**	0.168**
	(0.0669)	(0.0342)	(0.0385)	(0.126)	(0.0670)	(0.0686)
_Istate_19	-0.0223	0.0448	0.0411	-0.125	0.128**	0.135**
	(0.0817)	(0.0419)	(0.0410)	(0.209)	(0.0632)	(0.0540)
_Istate_20	0.0488	0.116***	0.107**	-0.0255	0.195***	0.172***
	(0.0805)	(0.0429)	(0.0444)	(0.180)	(0.0451)	(0.0331)
_Istate_21	0.0785	0.150***	0.137***	0.0697	0.233***	0.231***
	(0.0716)	(0.0493)	(0.0367)	(0.120)	(0.0475)	(0.0473)
_Istate_22	-0.111	-0.0104	-0.0197	-0.173	-0.0157	-0.0478
	(0.0931)	(0.0495)	(0.0471)	(0.218)	(0.0971)	(0.0977)
_Istate_23	-0.170***	-0.0787*	-0.0860**	-0.208	-0.0304	-0.0239
	(0.0638)	(0.0399)	(0.0361)	(0.134)	(0.0630)	(0.0586)
_Istate_24	-0.139	-0.0612	-0.0573	-0.308	-0.0873	-0.0776
	(0.0847)	(0.0373)	(0.0367)	(0.272)	(0.100)	(0.0935)
_Istate_25	-0.149	-0.0167	-0.0253	-0.310	-0.0844	-0.0986
	(0.0935)	(0.0620)	(0.0498)	(0.239)	(0.0968)	(0.0904)
_Istate_26	-0.0407	0.0514	0.0426	-0.0632	0.132	0.117
	(0.0723)	(0.0551)	(0.0467)	(0.126)	(0.0920)	(0.0801)
_Istate_27	0.0433	0.0895*	0.0777	0.0309	0.161***	0.159***
	(0.0841)	(0.0532)	(0.0533)	(0.157)	(0.0433)	(0.0424)
_Istate_28	-0.119	-0.0453	-0.0689	-0.227	-0.0608	-0.101
	(0.0868)	(0.0582)	(0.0591)	(0.219)	(0.0648)	(0.0890)
_Istate_29	-0.0181	0.0789**	0.0554*	-0.0805	0.113**	0.110**
	(0.0711)	(0.0385)	(0.0320)	(0.144)	(0.0515)	(0.0428)
_Istate_30	0.0245	0.131**	0.122**	0.0725	0.327***	0.299***
	(0.0733)	(0.0576)	(0.0533)	(0.0927)	(0.108)	(0.0976)
_Istate_31	-0.0305	0.0622	0.0538	-0.0274	0.140***	0.126***
	(0.0764)	(0.0428)	(0.0413)	(0.151)	(0.0382)	(0.0339)
_Istate_32	-0.0223	0.0481	0.0534*	-0.0571	0.123**	0.121***
	(0.0760)	(0.0325)	(0.0311)	(0.167)	(0.0491)	(0.0430)
_Istate_33	-0.123	-0.0621	-0.0543	-0.253	-0.0747	-0.0864
	(0.0795)	(0.0497)	(0.0422)	(0.199)	(0.0565)	(0.0642)
_Istate_34	-0.119	-0.0724	-0.0787	-0.123	-0.0105	-0.0244
	(0.0840)	(0.0590)	(0.0626)	(0.124)	(0.0863)	(0.0806)
o._Iyear_2007	-	-	-		-	-
						
o._Iyear_2008	-	-	-	-	-	-
						
o._Iyear_2009	-	-	-	-	-	-
						
o._Iyear_2010	-	-	-	-	-	-
						
_IstaXyea_2_2007	-0.0575	-0.193***	-0.193***	-0.0449	-0.252**	-0.229*
	(0.110)	(0.0507)	(0.0475)	(0.0844)	(0.114)	(0.116)
_IstaXyea_2_2008	-0.115	-0.258***	-0.266***	-0.160	-0.441***	-0.420***
	(0.127)	(0.0708)	(0.0634)	(0.143)	(0.0960)	(0.0969)
_IstaXyea_2_2009	-0.200*	-0.329***	-0.337***	-0.0574	-0.337***	-0.316***
	(0.109)	(0.0723)	(0.0681)	(0.185)	(0.0759)	(0.0732)
_IstaXyea_2_2010	-0.286**	-0.407***	-0.399***	-0.134	-0.435***	-0.387***
	(0.112)	(0.0731)	(0.0603)	(0.170)	(0.0812)	(0.0703)
_IstaXyea_3_2007	-0.107	-0.177**	-0.159**	-0.0894	-0.217*	-0.216*
	(0.104)	(0.0783)	(0.0736)	(0.0993)	(0.117)	(0.120)
_IstaXyea_3_2008	-0.236**	-0.307***	-0.295***	-0.259	-0.420***	-0.422***
	(0.114)	(0.0851)	(0.0813)	(0.221)	(0.0804)	(0.0825)
_IstaXyea_3_2009	-0.347***	-0.416***	-0.401***	-0.191	-0.372***	-0.373***
	(0.0940)	(0.0815)	(0.0732)	(0.257)	(0.101)	(0.0953)
_IstaXyea_3_2010	-0.443***	-0.495***	-0.477***	-0.249	-0.464***	-0.431***
	(0.0985)	(0.0728)	(0.0672)	(0.241)	(0.103)	(0.0868)
_IstaXyea_4_2007	-0.0693	-0.129	-0.142	0.00370	-0.0467	-0.0542
	(0.140)	(0.118)	(0.109)	(0.187)	(0.0956)	(0.0978)
_IstaXyea_4_2008	-0.332**	-0.405***	-0.413***	-0.247	-0.411***	-0.413***
	(0.146)	(0.118)	(0.114)	(0.226)	(0.0659)	(0.0618)
_IstaXyea_4_2009	-0.313**	-0.385***	-0.398***	-0.149	-0.309**	-0.302**
	(0.119)	(0.0987)	(0.0944)	(0.307)	(0.149)	(0.149)
_IstaXyea_4_2010	-0.267**	-0.293***	-0.284***	-0.185	-0.355***	-0.348***
